feature,importance,gain_pct,gain_cumul_pct,rank
oh_geography_type_River_Barren_Land_Grass_Land,996.972412109375,0.03125531126821696,99.15871893883369,292
rgi_date4,981.4238891601562,0.030767861546804283,99.1894868003805,293
prior_x_status_drop,863.98095703125,0.027085998984354216,99.21657279936484,294
rgi_date3,853.3767700195312,0.02675355531613234,99.24332635468097,295
mean_time_gap,841.705322265625,0.026387652781550423,99.26971400746253,296
oh_geography_type_Sparse_Forest_Dense_Forest_Grass_Land_Farms_Lakes,810.0226440429688,0.025394393632518678,99.29510840109505,297
date0_month,804.0429077148438,0.025206927542216366,99.32031532863726,298
rgi_date1,802.7796020507812,0.02516732262308562,99.34548265126035,299
date3_month_sin,784.9715576171875,0.02460903639059843,99.37009168765096,300
date1_month,754.1727905273438,0.023643488056082653,99.39373517570704,301
date3_month,727.5321655273438,0.0228082984192971,99.41654347412633,302
oh_change_status_date3_NSP_status,707.1904296875,0.02217058038649319,99.43871405451281,303
oh_change_status_date1_Construction_Started,654.0501098632812,0.02050461930590078,99.45921867381871,304
date4_year,651.8013916015625,0.0204341214783071,99.47965279529701,305
status_ord_date1,647.1318359375,0.020287729849018436,99.49994052514603,306
oh_geography_type_Coastal_Barren_Land,623.3485717773438,0.01954211912271244,99.51948264426875,307
oh_change_status_date3_Materials_Introduced,610.5414428710938,0.019140612726391906,99.53862325699514,308
date2_year,605.1185302734375,0.018970603186347097,99.55759386018148,309
oh_geography_type_Sparse_Forest_Dense_Forest_Lakes,410.6048889160156,0.01287255640722161,99.5704664165887,310
is_large_vs_neighbors,393.7150573730469,0.012343056357138655,99.58280947294584,311
oh_change_status_date4_Construction_Midway,393.7146301269531,0.012343042962876702,99.59515251590872,312
oh_change_status_date2_Materials_Introduced,366.1458740234375,0.011478756205462994,99.60663127211419,313
oh_geography_type_Dense_Forest,363.9970397949219,0.011411389764967458,99.61804266187916,314
oh_geography_type_River_Sparse_Forest,345.1287841796875,0.010819865671442457,99.6288625275506,315
date3_year,334.9595642089844,0.010501058318622322,99.63936358586922,316
oh_change_status_date0_Materials_Introduced,325.17620849609375,0.010194347897812263,99.64955793376703,317
oh_change_status_date2_Construction_Midway,297.50872802734375,0.009326966109154278,99.65888489987618,318
oh_change_status_date1_Land_Cleared,290.58746337890625,0.00910998289243826,99.66799488276862,319
oh_geography_type_River_Grass_Land,253.69509887695312,0.007953398896809542,99.67594828166544,320
oh_change_status_date3_Land_Cleared,249.5140838623047,0.007822323127698299,99.68377060479314,321
oh_geography_type_Sparse_Forest,242.52969360351562,0.00760336090877864,99.69137396570191,322
